country,year,log_asdr
Guatemala,2002,0.003465537921389411
Guatemala,2003,-0.12108204226785652
Guatemala,2004,-0.21063768455946824
Guatemala,2005,-0.2114140066192079
Guatemala,2006,-0.18967021903018894
Guatemala,2007,-0.2316046014215637
Guatemala,2008,-0.16687802407684757
Guatemala,2009,-0.059058156348634726
Guatemala,2010,0.0380640973542292
Guatemala,2011,0.2026994163364166
Guatemala,2012,0.2717881907743277
Guatemala,2013,0.33335697770318445
Guatemala,2014,0.31356158603483203
Guatemala,2015,0.3449613776350774
Guatemala,2016,0.3749330565986798
Guatemala,2017,0.353141780648985
Guatemala,2018,0.36098469813739115
Denmark,1992,1.2344620445563461
Denmark,1993,1.273879415496418
Denmark,1994,1.3468753096822292
Denmark,1995,1.346721429222178
Denmark,1996,1.3280377737901221
Denmark,1997,1.3134510598220392
Denmark,1998,1.2948827080267848
Denmark,1999,1.3295178696193881
Denmark,2000,1.2876136436428107
Denmark,2001,1.2597265651463259
Denmark,2002,1.247854076115064
Denmark,2003,1.2249014802830183
Denmark,2004,1.2420865801874972
Denmark,2005,1.2728241671747738
Denmark,2006,1.3145014668358679
Denmark,2007,1.3399514908008348
Denmark,2008,1.380562843611189
Denmark,2009,1.4016718452160204
Denmark,2010,1.3785250732863399
Denmark,2011,1.3427754431277554
Denmark,2012,1.2830924232585421
Denmark,2013,1.2662980905649612
Denmark,2014,1.2801331453742448
Denmark,2015,1.28232188309782
Denmark,2016,1.3117933662553276
Denmark,2017,1.3100166334809926
Denmark,2018,1.350028156527368
Russian Federation,1992,1.198753418438696
Russian Federation,1993,1.43006482310639
Russian Federation,1994,1.5521489745225587
Russian Federation,1995,1.5345724790862305
Russian Federation,1996,1.5037961627155414
Russian Federation,1997,1.464113859440657
Russian Federation,1998,1.4993347568635769
Russian Federation,1999,1.6353200527350453
Russian Federation,2000,1.7343945034768606
Russian Federation,2001,1.708161222690803
Russian Federation,2002,1.6881194370587265
Russian Federation,2003,1.7723673888283398
Russian Federation,2004,1.8888757142143868
Russian Federation,2005,2.0978447516011727
Russian Federation,2006,2.113886335906821
Russian Federation,2007,2.052498159202889
Russian Federation,2008,1.9872408748820176
Russian Federation,2009,1.7995768349196861
Russian Federation,2010,1.7295304368665814
Russian Federation,2011,1.617091579795737
Russian Federation,2012,1.595119734999703
Russian Federation,2013,1.5951450013913764
Russian Federation,2014,1.6120631903154041
Russian Federation,2015,1.518434078512945
Russian Federation,2016,1.4641440360387281
Russian Federation,2017,1.3901380715882383
Russian Federation,2018,1.3721615515166832
Finland,1992,1.0216359153290953
Finland,1993,1.0270436528952134
Finland,1994,1.043232612152108
Finland,1995,1.1044389399470695
Finland,1996,1.1529574019397435
Finland,1997,1.1620116371503189
Finland,1998,1.1525284618263858
Finland,1999,1.1950252691208567
Finland,2000,1.2352631153754532
Finland,2001,1.232957646213381
Finland,2002,1.230583232100145
Finland,2003,1.2550789146732004
Finland,2004,1.3208322971876323
Finland,2005,1.367968567575529
Finland,2006,1.431762381541208
Finland,2007,1.5276674142045623
Finland,2008,1.5711927985975054
Finland,2009,1.5971015727117444
Finland,2010,1.5982392682796642
Finland,2011,1.57994307919073
Finland,2012,1.5625111463799266
Finland,2013,1.538146829838461
Finland,2014,1.4972485351524487
Finland,2015,1.4700765614136588
Finland,2016,1.5064837708439032
Finland,2017,1.5518443756446474
Finland,2018,1.6030974611666902
Bosnia and Herzegovina,1992,-1.922966751908979
Bosnia and Herzegovina,1993,-1.9208395278753183
Bosnia and Herzegovina,1994,-1.913328838535303
Bosnia and Herzegovina,1995,-1.9009420551173797
Bosnia and Herzegovina,1996,-1.9089654913070855
Bosnia and Herzegovina,1997,-1.9228072296085923
Bosnia and Herzegovina,1998,-1.9202484456744215
Bosnia and Herzegovina,1999,-1.8929169577811875
Bosnia and Herzegovina,2000,-1.8743090965709963
Bosnia and Herzegovina,2001,-1.8572754805089304
Bosnia and Herzegovina,2002,-1.8201092922786675
Bosnia and Herzegovina,2003,-1.8074310192403007
Bosnia and Herzegovina,2004,-1.8089749245052356
Bosnia and Herzegovina,2005,-1.8020545944708617
Bosnia and Herzegovina,2006,-1.80595289299418
Bosnia and Herzegovina,2007,-1.7888623431043924
Bosnia and Herzegovina,2008,-1.837855001530284
Bosnia and Herzegovina,2009,-1.8377486576127775
Bosnia and Herzegovina,2010,-1.8463005967559258
Bosnia and Herzegovina,2011,-1.8699020996163658
Bosnia and Herzegovina,2012,-1.8333437673302329
Bosnia and Herzegovina,2013,-1.8040047571136264
Bosnia and Herzegovina,2014,-1.7690791256663692
Bosnia and Herzegovina,2015,-1.7639058726426085
Bosnia and Herzegovina,2016,-1.7642151257786418
Bosnia and Herzegovina,2017,-1.7694322399373967
Bosnia and Herzegovina,2018,-1.7697621446757643
Croatia,1992,-0.06069231597088426
Croatia,1993,-0.08564210401828591
